id	일시	자치구	승차총승객수	하차총승객수
330	20200114	관악구	311396.0	316473.0
331	20200114	광진구	114038.0	113568.0
332	20200114	구로구	238318.0	229083.0
333	20200114	금천구	164199.0	155637.0
334	20200114	노원구	185885.0	181832.0
335	20200114	도봉구	148208.0	143978.0
336	20200114	동대문구	224685.0	219948.0
337	20200114	동작구	237577.0	227595.0
338	20200114	마포구	225625.0	220561.0
339	20200114	서대문구	251518.0	243891.0
340	20200114	서초구	334231.0	322502.0
341	20200114	성동구	119676.0	116580.0
342	20200114	성북구	253953.0	254493.0
343	20200114	송파구	233021.0	230501.0
344	20200114	양천구	174238.0	166398.0
345	20200114	영등포구	247628.0	251161.0
346	20200114	용산구	167434.0	162479.0
347	20200114	은평구	211455.0	208483.0
348	20200114	종로구	229417.0	220481.0
349	20200114	중구	161034.0	153183.0
350	20200114	중랑구	149667.0	146872.0
351	20200115	강남구	372144.0	350944.0
352	20200115	강동구	126861.0	123869.0
353	20200115	강북구	205084.0	197942.0
354	20200115	강서구	209916.0	207792.0
355	20200115	관악구	316048.0	320744.0
356	20200115	광진구	116378.0	115850.0
357	20200115	구로구	239865.0	230701.0
358	20200115	금천구	165877.0	157020.0
359	20200115	노원구	187401.0	183366.0
360	20200115	도봉구	149950.0	145032.0
361	20200115	동대문구	228828.0	224195.0
362	20200115	동작구	240802.0	230835.0
363	20200115	마포구	229288.0	224279.0
364	20200115	서대문구	253480.0	246459.0
365	20200115	서초구	338120.0	325389.0
366	20200115	성동구	120686.0	117744.0
367	20200115	성북구	257242.0	257408.0
368	20200115	송파구	237281.0	234091.0
369	20200115	양천구	177761.0	169543.0
370	20200115	영등포구	252977.0	256362.0
371	20200115	용산구	169250.0	163843.0
372	20200115	은평구	213858.0	210802.0
373	20200115	종로구	233285.0	224248.0
374	20200115	중구	162858.0	154875.0
375	20200115	중랑구	151524.0	148847.0
376	20200116	강남구	369123.0	348856.0
377	20200116	강동구	126067.0	122976.0
378	20200116	강북구	203946.0	196815.0
379	20200116	강서구	208930.0	206762.0
380	20200116	관악구	311501.0	316296.0
381	20200116	광진구	115459.0	115137.0
382	20200116	구로구	240932.0	231224.0
383	20200116	금천구	164587.0	156302.0
384	20200116	노원구	185176.0	181749.0
385	20200116	도봉구	148315.0	143893.0
386	20200116	동대문구	228109.0	223348.0
387	20200116	동작구	237554.0	227848.0
388	20200116	마포구	230084.0	224415.0
389	20200116	서대문구	251130.0	244374.0
390	20200116	서초구	336791.0	324005.0
391	20200116	성동구	120582.0	116682.0
392	20200116	성북구	255229.0	255063.0
393	20200116	송파구	236101.0	232956.0
394	20200116	양천구	176447.0	169192.0
395	20200116	영등포구	250044.0	253052.0
396	20200116	용산구	167682.0	162853.0
397	20200116	은평구	212366.0	208747.0
398	20200116	종로구	232252.0	222619.0
399	20200116	중구	163251.0	155070.0
400	20200116	중랑구	151890.0	149011.0
401	20200117	강남구	379044.0	358557.0
402	20200117	강동구	128218.0	125893.0
403	20200117	강북구	210192.0	203810.0
404	20200117	강서구	214136.0	211629.0
405	20200117	관악구	320068.0	324810.0
406	20200117	광진구	118892.0	118396.0
407	20200117	구로구	243556.0	234373.0
408	20200117	금천구	169356.0	160097.0
409	20200117	노원구	189218.0	185641.0
410	20200117	도봉구	151586.0	146763.0
411	20200117	동대문구	231136.0	226885.0
412	20200117	동작구	245094.0	233358.0
413	20200117	마포구	235292.0	230011.0
414	20200117	서대문구	256558.0	248449.0
415	20200117	서초구	349104.0	334481.0
416	20200117	성동구	123141.0	119389.0
417	20200117	성북구	259849.0	258915.0
418	20200117	송파구	242651.0	239012.0
419	20200117	양천구	181766.0	172697.0
420	20200117	영등포구	257275.0	262113.0
421	20200117	용산구	173149.0	168807.0
422	20200117	은평구	216857.0	213688.0
423	20200117	종로구	238294.0	227665.0
424	20200117	중구	167590.0	160008.0
425	20200117	중랑구	154763.0	151752.0
426	20200118	강남구	245195.0	227052.0
427	20200118	강동구	94109.0	92474.0
428	20200118	강북구	169979.0	166448.0
429	20200118	강서구	157993.0	156912.0
430	20200118	관악구	250139.0	254729.0
431	20200118	광진구	93362.0	92736.0
432	20200118	구로구	183537.0	175615.0
433	20200118	금천구	123526.0	115956.0
434	20200118	노원구	143692.0	141818.0
435	20200118	도봉구	117220.0	114089.0
436	20200118	동대문구	182082.0	179525.0
437	20200118	동작구	182892.0	173513.0
438	20200118	마포구	173148.0	170479.0
439	20200118	서대문구	192443.0	184504.0
440	20200118	서초구	233947.0	224641.0
441	20200118	성동구	90447.0	87388.0
442	20200118	성북구	199703.0	198948.0
443	20200118	송파구	179016.0	177318.0
444	20200118	양천구	132476.0	125153.0
445	20200118	영등포구	175976.0	179308.0
446	20200118	용산구	134608.0	129728.0
447	20200118	은평구	167605.0	165627.0
448	20200118	종로구	178110.0	169743.0
449	20200118	중구	123594.0	117962.0
450	20200118	중랑구	120501.0	118877.0
451	20200119	강남구	168133.0	154772.0
452	20200119	강동구	76087.0	73933.0
453	20200119	강북구	131863.0	129206.0
454	20200119	강서구	119899.0	119237.0
455	20200119	관악구	194185.0	196638.0
456	20200119	광진구	72023.0	71162.0
457	20200119	구로구	140832.0	134822.0
458	20200119	금천구	92170.0	87151.0
459	20200119	노원구	109567.0	107620.0
460	20200119	도봉구	88784.0	86857.0
461	20200119	동대문구	135903.0	133261.0
462	20200119	동작구	138511.0	132900.0
463	20200119	마포구	129408.0	126578.0
464	20200119	서대문구	145186.0	139661.0
465	20200119	서초구	166830.0	160882.0
466	20200119	성동구	67092.0	64816.0
467	20200119	성북구	152158.0	153007.0
468	20200119	송파구	133535.0	132763.0
469	20200119	양천구	99035.0	94669.0
470	20200119	영등포구	141977.0	142910.0
471	20200119	용산구	104494.0	99944.0
472	20200119	은평구	125142.0	123814.0
473	20200119	종로구	125656.0	118641.0
474	20200119	중구	88289.0	83298.0
475	20200119	중랑구	91449.0	90061.0
476	20200120	강남구	363395.0	343643.0
477	20200120	강동구	124963.0	121867.0
478	20200120	강북구	207640.0	199547.0
479	20200120	강서구	207094.0	204777.0
480	20200120	관악구	313122.0	317559.0
481	20200120	광진구	114784.0	114203.0
482	20200120	구로구	242131.0	232628.0
483	20200120	금천구	168343.0	159498.0
484	20200120	노원구	184450.0	180551.0
485	20200120	도봉구	149997.0	145758.0
486	20200120	동대문구	230328.0	225569.0
487	20200120	동작구	238189.0	228159.0
488	20200120	마포구	224859.0	219337.0
489	20200120	서대문구	250075.0	243756.0
490	20200120	서초구	329800.0	318815.0
491	20200120	성동구	121040.0	117161.0
492	20200120	성북구	253873.0	254054.0
493	20200120	송파구	233235.0	230600.0
494	20200120	양천구	174936.0	167485.0
495	20200120	영등포구	250645.0	254156.0
496	20200120	용산구	165276.0	159726.0
497	20200120	은평구	213078.0	209459.0
498	20200120	종로구	225837.0	216685.0
499	20200120	중구	159343.0	152360.0
500	20200120	중랑구	151559.0	148814.0
501	20200121	강남구	370819.0	350223.0
502	20200121	강동구	127124.0	124152.0
503	20200121	강북구	208720.0	201195.0
504	20200121	강서구	210844.0	209240.0
505	20200121	관악구	313331.0	317970.0
506	20200121	광진구	116763.0	116170.0
507	20200121	구로구	242783.0	233418.0
508	20200121	금천구	168410.0	159505.0
509	20200121	노원구	188806.0	184606.0
510	20200121	도봉구	151895.0	147226.0
511	20200121	동대문구	234704.0	229298.0
512	20200121	동작구	240194.0	230393.0
513	20200121	마포구	228340.0	222768.0
514	20200121	서대문구	253288.0	246835.0
515	20200121	서초구	340200.0	327801.0
516	20200121	성동구	122190.0	118718.0
517	20200121	성북구	256860.0	257038.0
518	20200121	송파구	236940.0	234026.0
519	20200121	양천구	176720.0	168979.0
520	20200121	영등포구	253466.0	256445.0
521	20200121	용산구	169684.0	164707.0
522	20200121	은평구	216026.0	212206.0
523	20200121	종로구	233593.0	224768.0
524	20200121	중구	163888.0	156260.0
525	20200121	중랑구	153303.0	150636.0
526	20200122	강남구	372995.0	351654.0
527	20200122	강동구	129338.0	126459.0
528	20200122	강북구	210695.0	203490.0
529	20200122	강서구	211661.0	209337.0
530	20200122	관악구	317846.0	321823.0
531	20200122	광진구	119343.0	118564.0
532	20200122	구로구	247059.0	238326.0
533	20200122	금천구	169010.0	160567.0
534	20200122	노원구	188712.0	184955.0
535	20200122	도봉구	151492.0	146956.0
536	20200122	동대문구	233046.0	229474.0
537	20200122	동작구	244944.0	233565.0
538	20200122	마포구	230106.0	224699.0
539	20200122	서대문구	254890.0	246918.0
540	20200122	서초구	341801.0	331120.0
541	20200122	성동구	124650.0	121261.0
542	20200122	성북구	259309.0	257985.0
543	20200122	송파구	238949.0	235911.0
544	20200122	양천구	179046.0	170808.0
545	20200122	영등포구	256784.0	259832.0
546	20200122	용산구	169092.0	164940.0
547	20200122	은평구	216249.0	212983.0
548	20200122	종로구	233405.0	223277.0
549	20200122	중구	162459.0	156063.0
550	20200122	중랑구	156233.0	152635.0
551	20200123	강남구	339614.0	319697.0
552	20200123	강동구	121017.0	118227.0
553	20200123	강북구	208243.0	202709.0
554	20200123	강서구	203835.0	200689.0
555	20200123	관악구	300406.0	303293.0
556	20200123	광진구	112015.0	111513.0
557	20200123	구로구	232852.0	224633.0
558	20200123	금천구	165672.0	155864.0
559	20200123	노원구	179192.0	175531.0
560	20200123	도봉구	147507.0	141969.0
561	20200123	동대문구	220625.0	216707.0
562	20200123	동작구	228612.0	218701.0
563	20200123	마포구	217225.0	213364.0
564	20200123	서대문구	239836.0	230499.0
565	20200123	서초구	314548.0	306717.0
566	20200123	성동구	117437.0	114313.0
567	20200123	성북구	246955.0	244505.0
568	20200123	송파구	225425.0	221948.0
569	20200123	양천구	170042.0	161631.0
570	20200123	영등포구	239514.0	241854.0
571	20200123	용산구	160824.0	157253.0
572	20200123	은평구	210078.0	205369.0
573	20200123	종로구	210064.0	201295.0
574	20200123	중구	148030.0	145352.0
575	20200123	중랑구	150314.0	147350.0
576	20200124	강남구	107139.0	98650.0
577	20200124	강동구	51059.0	49665.0
578	20200124	강북구	112283.0	110143.0
579	20200124	강서구	89381.0	87845.0
580	20200124	관악구	142061.0	141098.0
581	20200124	광진구	50733.0	50737.0
582	20200124	구로구	102701.0	99501.0
583	20200124	금천구	75591.0	70221.0
584	20200124	노원구	76371.0	75101.0
585	20200124	도봉구	68947.0	67619.0
586	20200124	동대문구	96580.0	95924.0
587	20200124	동작구	100687.0	95577.0
588	20200124	마포구	87485.0	85942.0
589	20200124	서대문구	106112.0	99901.0
590	20200124	서초구	109731.0	110016.0
591	20200124	성동구	49663.0	47371.0
592	20200124	성북구	114652.0	112744.0
593	20200124	송파구	92463.0	90481.0
594	20200124	양천구	70187.0	66624.0
595	20200124	영등포구	93440.0	94193.0
596	20200124	용산구	73436.0	70389.0
597	20200124	은평구	100419.0	97699.0
598	20200124	종로구	89955.0	84137.0
599	20200124	중구	61919.0	63237.0
600	20200124	중랑구	70445.0	69581.0
601	20200125	강남구	71803.0	66669.0
602	20200125	강동구	38033.0	37630.0
603	20200125	강북구	96811.0	95382.0
604	20200125	강서구	69008.0	68382.0
605	20200125	관악구	114666.0	117314.0
606	20200125	광진구	41568.0	40632.0
607	20200125	구로구	88541.0	84256.0
608	20200125	금천구	63880.0	59984.0
609	20200125	노원구	61214.0	60565.0
610	20200125	도봉구	61536.0	59557.0
611	20200125	동대문구	73588.0	72252.0
612	20200125	동작구	80178.0	76776.0
613	20200125	마포구	66965.0	65438.0
614	20200125	서대문구	84053.0	81898.0
615	20200125	서초구	75688.0	71168.0
616	20200125	성동구	37432.0	35901.0
617	20200125	성북구	96292.0	96490.0
618	20200125	송파구	68314.0	67337.0
619	20200125	양천구	54590.0	52619.0
620	20200125	영등포구	78969.0	78486.0
621	20200125	용산구	61314.0	57596.0
622	20200125	은평구	86487.0	85190.0
623	20200125	종로구	75425.0	70869.0
624	20200125	중구	56304.0	51508.0
625	20200125	중랑구	58399.0	57376.0
626	20200126	강남구	112906.0	104895.0
627	20200126	강동구	57673.0	56528.0
628	20200126	강북구	113523.0	112024.0
629	20200126	강서구	94321.0	93683.0
630	20200126	관악구	148567.0	154119.0
631	20200126	광진구	55857.0	54929.0
632	20200126	구로구	108642.0	104427.0
633	20200126	금천구	74966.0	70609.0
634	20200126	노원구	83134.0	82338.0
635	20200126	도봉구	74420.0	71817.0
636	20200126	동대문구	97155.0	95947.0
637	20200126	동작구	107472.0	104006.0
638	20200126	마포구	95731.0	95177.0
